07,14,1486,UNDID
07,12,1484,EXILE
07,08,1480,DREAD
07,07,1479,STILT
07,06,1478,ATRIA
07,03,1475,POPPY
06,29,1471,WITTY
06,26,1468,OFFER
06,24,1466,ELITE
06,23,1465,ODDLY
06,16,1458,PETTY
06,10,1452,TAFFY
06,08,1450,LEASE
06,07,1449,REUSE
06,04,1446,CEASE
06,02,1444,PREEN
05,30,1441,IDIOM
05,24,1435,SUEDE
05,22,1433,FOLIO
05,21,1432,ALARM
05,18,1429,LIVID
05,16,1427,FIFTH
05,15,1426,EAGER
05,14,1425,BONGO
05,13,1424,AWARE
05,05,1416,SHUSH
05,04,1415,TROUT
04,29,1410,BLISS
04,28,1409,DUMMY
04,27,1408,WEEDY
04,25,1406,KNOWN
04,24,1405,GENIE
04,23,1404,OZONE
04,17,1398,STOOD
04,11,1392,ARROW
04,06,1387,VILLA
04,04,1385,KRILL
04,01,1382,JEWEL
