word,group,group_reason,starts_with,has_double_letter,unique_letters,letter_counts
oddly,hypothesis,Double 'd',o,True,4,"{'o': 1, 'd': 2, 'l': 1, 'y': 1}"
eerie,hypothesis,Starts with 'E',e,True,3,"{'e': 3, 'r': 1, 'i': 1}"
upper,hypothesis,Double 'p' + starts with 'U',u,True,4,"{'u': 1, 'p': 2, 'e': 1, 'r': 1}"
issue,hypothesis,Double 's' + starts with 'I',i,True,4,"{'i': 1, 's': 2, 'u': 1, 'e': 1}"
oozed,hypothesis,Starts with 'O' + double 'o',o,True,4,"{'o': 2, 'z': 1, 'e': 1, 'd': 1}"
egged,hypothesis,Double 'g',e,True,3,"{'e': 2, 'g': 2, 'd': 1}"
offer,hypothesis,Double 'f' + starts with 'O',o,True,4,"{'o': 1, 'f': 2, 'e': 1, 'r': 1}"
iller,hypothesis,Double 'l' + starts with 'I',i,True,4,"{'i': 1, 'l': 2, 'e': 1, 'r': 1}"
orbit,hypothesis,Starts with 'O',o,False,5,"{'o': 1, 'r': 1, 'b': 1, 'i': 1, 't': 1}"
onion,hypothesis,Starts with 'O',o,False,3,"{'o': 2, 'n': 2, 'i': 1}"
elite,hypothesis,Starts with 'E',e,False,4,"{'e': 2, 'l': 1, 'i': 1, 't': 1}"
utter,hypothesis,Double 't' + starts with 'U',u,True,4,"{'u': 1, 't': 2, 'e': 1, 'r': 1}"
added,hypothesis,Double 'd',a,True,3,"{'a': 1, 'd': 3, 'e': 1}"
emote,hypothesis,Starts with 'E',e,False,4,"{'e': 2, 'm': 1, 'o': 1, 't': 1}"
error,hypothesis,Double 'r',e,True,3,"{'e': 1, 'r': 3, 'o': 1}"
oppen,hypothesis,Double 'p' + starts with 'O',o,True,4,"{'o': 1, 'p': 2, 'e': 1, 'n': 1}"
edger,hypothesis,Starts with 'E',e,False,4,"{'e': 2, 'd': 1, 'g': 1, 'r': 1}"
inner,hypothesis,Double 'n' + starts with 'I',i,True,4,"{'i': 1, 'n': 2, 'e': 1, 'r': 1}"
oomph,hypothesis,Double 'o' + starts with 'O',o,True,4,"{'o': 2, 'm': 1, 'p': 1, 'h': 1}"
eject,hypothesis,Starts with 'E',e,False,4,"{'e': 2, 'j': 1, 'c': 1, 't': 1}"
input,hypothesis,Starts with 'I',i,False,5,"{'i': 1, 'n': 1, 'p': 1, 'u': 1, 't': 1}"
occur,hypothesis,Double 'c' + starts with 'O',o,True,4,"{'o': 1, 'c': 2, 'u': 1, 'r': 1}"
ozone,hypothesis,Starts with 'O',o,False,4,"{'o': 2, 'z': 1, 'n': 1, 'e': 1}"
udder,hypothesis,Double 'd' + starts with 'U',u,True,4,"{'u': 1, 'd': 2, 'e': 1, 'r': 1}"
usher,hypothesis,Starts with 'U',u,False,5,"{'u': 1, 's': 1, 'h': 1, 'e': 1, 'r': 1}"
crank,control,"No double, starts with 'C'",c,False,5,"{'c': 1, 'r': 1, 'a': 1, 'n': 1, 'k': 1}"
table,control,"No double, starts with 'T'",t,False,5,"{'t': 1, 'a': 1, 'b': 1, 'l': 1, 'e': 1}"
smash,control,"No double, starts with 'S'",s,False,4,"{'s': 2, 'm': 1, 'a': 1, 'h': 1}"
bland,control,"No double, starts with 'B'",b,False,5,"{'b': 1, 'l': 1, 'a': 1, 'n': 1, 'd': 1}"
chest,control,"No double, starts with 'C'",c,False,5,"{'c': 1, 'h': 1, 'e': 1, 's': 1, 't': 1}"
grain,control,"No double, starts with 'G'",g,False,5,"{'g': 1, 'r': 1, 'a': 1, 'i': 1, 'n': 1}"
plant,control,"No double, starts with 'P'",p,False,5,"{'p': 1, 'l': 1, 'a': 1, 'n': 1, 't': 1}"
shark,control,"No double, starts with 'S'",s,False,5,"{'s': 1, 'h': 1, 'a': 1, 'r': 1, 'k': 1}"
brave,control,"No double, starts with 'B'",b,False,5,"{'b': 1, 'r': 1, 'a': 1, 'v': 1, 'e': 1}"
cloak,control,"No double, starts with 'C'",c,False,5,"{'c': 1, 'l': 1, 'o': 1, 'a': 1, 'k': 1}"
doubt,control,"No double, starts with 'D'",d,False,5,"{'d': 1, 'o': 1, 'u': 1, 'b': 1, 't': 1}"
fling,control,"No double, starts with 'F'",f,False,5,"{'f': 1, 'l': 1, 'i': 1, 'n': 1, 'g': 1}"
mound,control,"No double, starts with 'M'",m,False,5,"{'m': 1, 'o': 1, 'u': 1, 'n': 1, 'd': 1}"
spark,control,"No double, starts with 'S'",s,False,5,"{'s': 1, 'p': 1, 'a': 1, 'r': 1, 'k': 1}"
trail,control,"No double, starts with 'T'",t,False,5,"{'t': 1, 'r': 1, 'a': 1, 'i': 1, 'l': 1}"
draft,control,"No double, starts with 'D'",d,False,5,"{'d': 1, 'r': 1, 'a': 1, 'f': 1, 't': 1}"
climb,control,"No double, starts with 'C'",c,False,5,"{'c': 1, 'l': 1, 'i': 1, 'm': 1, 'b': 1}"
spore,control,"No double, starts with 'S'",s,False,5,"{'s': 1, 'p': 1, 'o': 1, 'r': 1, 'e': 1}"
prank,control,"No double, starts with 'P'",p,False,5,"{'p': 1, 'r': 1, 'a': 1, 'n': 1, 'k': 1}"
brick,control,"No double, starts with 'B'",b,False,5,"{'b': 1, 'r': 1, 'i': 1, 'c': 1, 'k': 1}"
groan,control,"No double, starts with 'G'",g,False,5,"{'g': 1, 'r': 1, 'o': 1, 'a': 1, 'n': 1}"
shunt,control,"No double, starts with 'S'",s,False,5,"{'s': 1, 'h': 1, 'u': 1, 'n': 1, 't': 1}"
flint,control,"No double, starts with 'F'",f,False,5,"{'f': 1, 'l': 1, 'i': 1, 'n': 1, 't': 1}"
broad,control,"No double, starts with 'B'",b,False,5,"{'b': 1, 'r': 1, 'o': 1, 'a': 1, 'd': 1}"
glean,control,"No double, starts with 'G'",g,False,5,"{'g': 1, 'l': 1, 'e': 1, 'a': 1, 'n': 1}"
